10007930,6
 LT95SG12 0,11
 00100UCHJ5,1
 00100UCHJ5,24
10002225,5
10002226,13
10003083,4
10003084,1
10004457,0
10005804,1
10006155,0
10006287,1
10006290,1
10006292,0
10006832,4
10007394,0
10007398,0
 LT95SG12 0,11
 00100UCHJ5,1
 00100UCHJ5,24
10002225,5
10002226,13
10003083,4
10003084,1
10004457,0
10005804,1
10006155,0
10006287,1
10006290,1
10006292,0
10006832,4
10007394,0
10007398,0
10007399,0
10007508,0
10007511,0
10007512,1
10007513,0
10007515,0
10007516,1
10007517,0
10007519,0
10007520,0
10007521,0
10007523,0
10007524,0
10007526,0
10007527,0
10007688,1
10007692,0
10007696,0
10007700,0
10007704,0
10007729,0
10007929,2
10007930,6
 LT95SG12 0,11
 00100UCHJ5,1
 00100UCHJ5,24
10002225,5
10002226,13
10003083,4
10003084,1
10004457,0
10005804,1
10006155,0
10006287,1
10006290,1
10006292,0
10006832,4
10007394,0
10007398,0
10007399,0
10007508,0
10007511,0
10007512,1
10007513,0
10007515,0
10007516,1
10007517,0
10007519,0
10007520,0
10007521,0
10007523,0
10007524,0
10007526,0
10007527,0
10007688,1
10007692,0
10007696,0
10007700,0
10007704,0
10007729,0
10007929,2
10007930,6
 LT95SG12 0,11
 00100UCHJ5,1
 00100UCHJ5,24
10002225,5
10002226,13
