4 , 00100UCHJ5
4 , 00100UCHJ5
4 , LT95SG12 0
4 , 10002225,5
4 , 10002226,1
3 , 10003083,4
3 , 10003084,1
3 , 10004457,0
3 , 10005804,1
3 , 10006155,0
3 , 10006287,1
3 , 10006290,1
3 , 10006292,0
3 , 10006832,4
3 , 10007394,0
3 , 10007398,0
2 , 10007399,0
2 , 10007508,0
2 , 10007511,0
2 , 10007512,1
2 , 10007513,0
2 , 10007515,0
2 , 10007516,1
2 , 10007517,0
2 , 10007519,0
2 , 10007520,0
2 , 10007521,0
2 , 10007523,0
2 , 10007524,0
2 , 10007526,0
2 , 10007527,0
2 , 10007688,1
2 , 10007692,0
2 , 10007696,0
2 , 10007700,0
2 , 10007704,0
2 , 10007729,0
2 , 10007929,2
3 , 10007930,6
